Image URL,Name,Supplier Name,Published Date,Topics,ProductDescription,Reason for recall,Hazard,Consumer should do,SupplierName-Recall,SupplierWebsite,SupplierWebsite-href,TradersList,Sale Period,Product-sold,CountryofManufacture,RecallAdvertdoc,RecallAdvertdoc-href,Regulator-responsibleforthis
https://www.productsafety.gov.au/system/files/styles/media_library/private/Projector%20Torch%20-%20Prehistoric%20Lands.jpg?itok=WG8oqCc7,Novelty projector torches and seven in one whistle,Bobangles,10 May 2024,"Chemicals and poisons
 Hazardous materials
 Electronics and technology
 Button batteries
 Home and garden
 Decorations, candles and novelties","Novelty torches that project images onto surfaces. Available in Prehistoric Land and Nature Trail themes.
 
 
 Seven in one whistle that includes whistle mirror, thermometer, magnifying glass LED light, storage space and compass.
 
 
 
 
 See a list of details to help identify the product.","The products do not comply with the mandatory standards for products containing button/coin batteries.
 
 
 The button/coin batteries may not be adequately secured and may become accessible to young children.
 
 
 The products do not include the required warning information.",There is a risk of choking or serious injury if young children gain access to the button/coin batteries and swallow or place them inside their body.,"Consumers must stop using the products immediately and keep them out of reach of children.
 
 
 Consumers should return the items to the place of purchase to receive a full refund.
 
 
 If consumers are unable to return the product or have sold or gifted it to another person, they can contact Bobangles on reception@bobangles.com.au(link sends email) or 03 9553 6111 7.30 am to 4.00 pm Monday to Friday AEST",Bobangles(link is external),Bobangles(link is external),https://www.bobangles.com.au/,Please see attached list,"15 September 2023
  - 3 April 2024",New South WalesQueenslandSouth AustraliaVictoriaWestern AustraliaAustralian Capital Territory,China,Traders List - 10 May 2024.pdf 33.99 KB,https://www.productsafety.gov.au/system/files/Traders%20List%20-%2010%20May%202024.pdf,Quote PRA number 2024/20160 when contacting a regulator about this recall.
https://www.productsafety.gov.au/system/files/styles/media_library/private/Fortis%20heavy%20duty%20adjustable%20FID%20weight%20bench.jpg?itok=9M6bMawm,Fortis Heavy Duty Adjustable FID Weight Bench,Kogan Australia Pty Ltd,9 May 2024,"Sports and recreation
 Gym and fitness equipment","Adjustable RID (flat, incline and decline) weight bench.
 
 
 
 Red and black in colour with Fortis printed on the backrest.
 
 
 
 See a list of details to help identify the product.",The welding joint on the seat support may fail during use.,"There is a risk of injury or property damage if the welding joint fails and the bench moves during use.
 
 
 Injuries have occurred as a result of this hazard.","Consumers should stop using the weight bench immediately.
 
 
 Contact Kogan on the Kogan website or email recalls@kogan.com.au(link sends email) with the order details.
 
 
 Kogan will assist consumers to return the weight bench and provide a refund.",Kogan Australia Pty Ltd(link is external),Kogan Australia Pty Ltd(link is external),https://www.kogan.com/au/,"Kogan Australia Pty Ltd
 
 - As sold via kogan.com
 
 - As sold via dicksmith.com.au
 
 - As sold via www.mattblatt.com.au(link is external)
 
 Mighty Ape Ltd
 
 - As sold via www.mightyape.com.au(link is external)","24 February 2022
  - 8 April 2024",NationallyInternationalOnline,China,Recall advertisement - 9 May 2024.pdf 203.33 KB,https://www.productsafety.gov.au/system/files/recall/Recall%20advertisement%20-%209%20May%202024.pdf,Quote PRA number 2024/20173 when contacting a regulator about this recall.
https://www.productsafety.gov.au/system/files/styles/media_library/private/Mug%20Top%20View.jpg?itok=MUT4qwnb,Homespun Pottery Mountain Mug,Homespun Pottery,2 May 2024,"Home and garden
 Kitchenware and containers","Handmade pottery mugs, painted in a variety of styles.
 
 
 
 See a list of details to help identify the product.",Cracks have developed in the mugs due to an error in the firing process.,There is a risk of cuts and burns by scalding if the mug breaks while being used.,"Stop using the mug and return it to Pulse Climbing for a full refund.
 
 
 For more information, contact Pulse Climbing on info@pulseclimbing.com.au(link sends email)",Homespun Pottery,,,"Pulse Climbing Gosford
 
 Pulse Climbing Maitland
 
 Pulse Climbing Adamstown
 
 Pulse Climbing Warners Bay","15 March 2024
  - 8 April 2024",New South Wales,Australia,Recall Advertisement - 2 May 2024.pdf 226.66 KB,https://www.productsafety.gov.au/system/files/recall/Recall%20Advertisement%20-%202%20May%202024.pdf,Quote PRA number 2024/20159 when contacting a regulator about this recall.
https://www.productsafety.gov.au/system/files/styles/media_library/private/ARB%20LC300%20Baserack%20bracket%20-%20internal.jpg?itok=izDmNByP,ARB Base Rack — Fit Kit Brackets to suit Landcruiser 300 Series,ARB,2 May 2024,"Vehicle accessories (registered)
 Car parts and accessories","Roof mounting brackets supplied with ARB Base Rack roof rack kits for Landcruiser 300 series vehicles
 
 Mount bracket part number 3753261.
 
 
 
 Produced between 7 June 2022 and 24 August 2022.
 
 Supplied in roof rack kits with part numbers:
 
 
 17925010
 17925020
 
 
 
 
 See a list of details to help identify the product.",The roof rack mount brackets may fail and the roof rack may detach from the roof while vehicle in use.,There is a risk of serious injury or property damage from a motor vehicle accident if the roof rack detaches from the roof while in use.,"Consumers should stop using affected LC300 Base Racks immediately.
 
 
 Remove any items mounted to the roof racks.
 
 
 Contact the nearest ARB store to arrange inspection and replacement of affected brackets.For more information contact ARB on productrecall@arb.com.au(link sends email) or by phone on 1800 879 602.",ARB(link is external),ARB(link is external),https://www.arb.com.au/,See traders list below.,"7 June 2022
  - 19 April 2024",NationallyInternational,Australia,Traders list - 2 May 2024.pdf 37.46 KB,https://www.productsafety.gov.au/system/files/Traders%20list%20-%202%20May%202024.pdf,Quote PRA number 2024/20165 when contacting a regulator about this recall.
https://www.productsafety.gov.au/system/files/styles/media_library/private/Worldlawn%20Zero%20Turn%20mower_0.jpg?itok=rO3hmOSv,Worldlawn King Cobra and Cobra Zero Turn mowers,Sun Trading Pty Ltd,29 April 2024,"Vehicles (unregistered or off-road)
 Ride-on lawn mowers and tractors
 Industry, tools and machinery
 Farm equipment and supplies","Kawasaki general engines with voltage regulator (part no. 21066-0785) installed in King Cobra and Cobra Zero Turn lawn mowers.
 
 
 
 Affected King Cobra and Cobra mowers:
 
 
 WYK60FX921V5S – 60” King Cobra
 WYZ6027KW-H – 60” Cobra
 
 
 
 
 See a list of details to help identify the product.","The voltage regulator in affected Kawasaki general purpose engines, installed in select Worldlawn King Cobra and Cobra mowers, can malfunction. The affected mowers can catch fire at any time, even if the engine is off or not in use.","There is risk of serious injury, death and/or damage to property if the voltage regulator catches fire.","Stop using the affected mower until it has been repaired.
 
 Disconnect the negative battery cable and secure it away from the negative battery post. If you are unsure on how to disconnect the battery, see the Operator’s Manual(link is external) or contact your local Worldlawn dealer(link is external).
 
 Contact your local Worldlawn dealer to arrange repair.For more information contact Worldlawn via email doc@worldlawn.com.au(link sends email) or phone 07 5491 4569 (8.00am to 4.00pm, Monday to Friday).",Sun Trading Pty Ltd(link is external),Sun Trading Pty Ltd(link is external),https://worldlawn.suntradingptyltd.com.au/,Worldlawn dealers,"1 August 2022
  - 1 January 2024",Nationally,United States,Worldlawn Trader List - 29 April 2024.pdf 49.35 KB,https://www.productsafety.gov.au/system/files/Worldlawn%20Trader%20List%20-%2029%20April%202024.pdf,Quote PRA number 2024/20164 when contacting a regulator about this recall.
https://www.productsafety.gov.au/system/files/styles/media_library/private/HexArmor%20PointGuard%20gloves.png?itok=CcQbJlfe,HexArmor PointGuard gloves,Uvex Safety Australia Limited Partnership,24 April 2024,"Industry, tools and machinery
 Fire extinguishers and safety equipment","Needle-stick resistant gloves for protection from needle and laceration hazards.
 
 Only batch HX25 is affected with item description number 4041, all sizes. 
 
 
 
 See a list of details to help identify the product.","Due to a manufacturing defect the needle-stick resistant material may have been installed incorrectly.If the needle-stick resistant material is not installed correctly, the glove will not provide the certified level of protection.",Risk of injury from needle-stick and/or lacerations.,"Consumers should return the product to their place of purchase for a refund or replacement.For more information, consumers can contact Uvex Safety Australia by phone on 02 9891 1700 or via email at sales@uvex.com.au(link sends email)",Uvex Safety Australia Limited Partnership(link is external),Uvex Safety Australia Limited Partnership(link is external),https://www.uvex-safety.com.au/en/,"Various workwear stores, see traders list.","1 September 2023
  - 31 March 2024",Nationally,Vietnam,Traders list - 24 April 2024.pdf 75.64 KB,https://www.productsafety.gov.au/system/files/Traders%20list%20-%2024%20April%202024.pdf,Quote PRA number 2024/20156 when contacting a regulator about this recall.
https://www.productsafety.gov.au/system/files/styles/media_library/private/John%20Deere%20Z760R%20ZTrak%20lawn%20mower.jpg?itok=eDPHFE_3,Z760R Zero Turn Mowers,Deere & Company / John Deere Limited,19 April 2024,"Vehicles (unregistered or off-road)
 Ride-on lawn mowers and tractors
 Industry, tools and machinery
 Farm equipment and supplies","Green and yellow ride on lawn mower with “John Deere” below the operating seat, model number “Z760R” printed on the front footrest and “ZTRAK” printed on the rear sides. 
 
 
 
 See a list of details to help identify the product.","The voltage regulator on some engines may fail, posing a fire hazard, even if the engine is off or not in use.","There is risk of serious injury, death and/or damage to property if the voltage regulator catches fire.","1. Stop using the affected mower until it has been repaired.
 
 
 2. Disconnect the negative battery cable. If you are unsure on how to disconnect the battery, see the Operator’s Manual or contact your local authorised John Deere dealer. 
 
 
 3. Contact your local authorised John Deere dealer(link is external) to arrange a free repair.",Deere & Company / John Deere Limited(link is external),Deere & Company / John Deere Limited(link is external),https://www.deere.com.au/en/index.html,Authorised John Deere dealers.,"15 February 2023
  - 30 December 2023",NationallyInternational,United States,Product Identification Number list - 19 April 2024.pdf 6.22 KB,https://www.productsafety.gov.au/system/files/Product%20Identification%20Number%20list%20-%2019%20April%202024.pdf,Quote PRA number 2024/20158 when contacting a regulator about this recall.
https://www.productsafety.gov.au/system/files/styles/media_library/private/Kioti%20HX1301%20or%20HX1401%20tractor.jpg?itok=EqyVk_lr,Kioti HX 1300 and 1400 tractors,PFG Australia,19 April 2024,"Vehicles (unregistered or off-road)
 Ride-on lawn mowers and tractors
 Industry, tools and machinery
 Farm equipment and supplies","Kioti branded 130 and 140 horsepower tractors.
 
 Recalled models are HX1301ATC-AU and HX1401ATC-AU.
 
 See model and serial list to see if your tractor is affected. 
 
 
 
 See a list of details to help identify the product.",The steering ram can flex and bend which may cause a loss of steering control.,Risk of accident resulting in serious injury or death to the operator and bystanders if the steering ram flexes or bends while the tractor is being driven.,"Consumers should stop using the tractor immediately.
 
 Consumers should contact their authorised Kioti dealer(link is external) to arrange for a free replacement steering ram to be installed.
 
 For more information call PFG Australia on 03 8353 3600 or email info@pfgaustralia.com.au(link sends email)",PFG Australia(link is external),PFG Australia(link is external),https://www.pfgaustralia.com.au/,Authorised Kioti dealers,"8 March 2023
  - 9 January 2024",NationallyOnline,South Korea,Trader list - 19 April 2024.pdf 392.48 KB,https://www.productsafety.gov.au/system/files/Trader%20list%20-%2019%20April%202024.pdf,Quote PRA number 2024/20138 when contacting a regulator about this recall.
https://www.productsafety.gov.au/system/files/styles/media_library/private/Daisy%20and%20Donald%20figures.jpg?itok=_TtOQI4j,Donald Duck and Daisy Duck figures sold as part of the Fisher-Price Little People® Mickey and Friends figure pack.,Mattel Pty Ltd,18 April 2024,"Kids' toys
 Novelty toys
 Toys for babies and toddlers","Donald Duck and Daisy Duck figures sold as part of the Fisher-Price Little People® Mickey and Friends figure pack.
 
 Model: HPJ88
 
 Only the Donald Duck and Daisy Duck figures are being recalled.
 
 The Mickey Mouse, Minnie Mouse, Goofy, and Pluto figures are not recalled and may be kept by consumers.
 
 The model number is located on the bottom of the Goofy figure.
 
 Intended for children aged 18 months to 5 years.
 
 
 
 See a list of details to help identify the product.",These products may not comply with the mandatory standard for toys for children up to and including 36 months of age. The head of the Donald Duck and/or Daisy Duck figures can detach.,There is a risk of serious injury or death from choking if the head separates from the body of the Donald Duck and/or Daisy Duck figures.,"Consumers should immediately stop using the Donald Duck and Daisy Duck figures and keep them out of reach of children.Return the affected figures to the place of purchase, or contact Mattel Consumer Relations, to receive a refund.Mattel Consumer Relations can be contacted by email at infoaust@mattel.com(link sends email) or by phone on 1300 135 312.",Mattel Pty Ltd (link is external),Mattel Pty Ltd (link is external),https://about.mattel.com/,See traders list below.,"7 June 2023
  - 14 November 2023",NationallyOnline,China,Traders list - 17 April 2024.pdf 28.53 KB,https://www.productsafety.gov.au/system/files/Traders%20list%20-%2017%20April%202024.pdf,Quote PRA number 2024/20149 when contacting a regulator about this recall.
https://www.productsafety.gov.au/system/files/styles/media_library/private/beaded%20dummy%20chains.jpg?itok=CGl8TvIh,Beaded Dummy Chain,AY095 Holdings Pty Ltd,15 April 2024,"Baby and toddler products
 Dummies and soothers","Beaded dummy chain.
 
 
 
 Sold in various colours.
 
 
 
 See a list of details to help identify the product.",These dummy chains do not comply with the mandatory standard for baby dummies and dummy chains.,There is a risk of serious injury or death from choking if the dummy chains don’t comply with the standard.,"Consumers should stop using affected dummy chains immediately destroy the chain by cutting the clip off and dispose of them.
 
 Send a photo of the destroyed chain to info@bambinohouse.com.au(link sends email) for a full refund.
 
 For more information contact Bambino house on info@bambinohouse.com.au(link sends email) or by phone on 0411 566 006.",AY095 Holdings Pty Ltd(link is external),AY095 Holdings Pty Ltd(link is external),https://bambinohouse.com.au/,Bambino House,"3 May 2023
  - 8 January 2024",NationallyOnline,China,Recall advertisement - 15 April 2024.pdf 247.07 KB,https://www.productsafety.gov.au/system/files/recall/Recall%20advertisement%20-%2015%20April%202024_2.pdf,Quote PRA number 2024/20132 when contacting a regulator about this recall.
https://www.productsafety.gov.au/system/files/styles/media_library/private/Newborn%20Baby%20Gift%20Set.jpg?itok=T1MgVHFy,Newborn Baby Gift Set,AY095 Holdings Pty Ltd,15 April 2024,"Baby and toddler products
 Baby feeding aids
 Kids' toys
 Rattles and toy teethers
 Toys for babies and toddlers","Newborn baby gift set.
 
 
 
 Set includes:
 
 
 Brush, crochet rattle, milestone, bath towel, bracelet, bib.
 
 
 
 
 See a list of details to help identify the product.",The rattle does not comply with the mandatory standard for toys for children up to and including 36 months of age.,There is a risk of serious injury or death from choking if the rattle doesn't comply with the standard.,"Consumers should stop using affected rattles immediately and dispose of them.
 
 Then notify Bambino House for a full refund.
 
 To notify of disposal or for more information contact Bambino house on info@bambinohouse.com.au(link sends email) or by phone on 0411 566 006.",AY095 Holdings Pty Ltd(link is external),AY095 Holdings Pty Ltd(link is external),https://bambinohouse.com.au/,Bambino House,"22 August 2023
  - 10 November 2023",NationallyOnline,China,Recall advertisement - 15 April 2024.pdf 196.18 KB,https://www.productsafety.gov.au/system/files/recall/Recall%20advertisement%20-%2015%20April%202024_0.pdf,Quote PRA number 2024/20133 when contacting a regulator about this recall.
https://www.productsafety.gov.au/system/files/styles/media_library/private/Baby%20Teether%20Rattle%20Toy%20Set.jpg?itok=ql-JKm_d,Baby Teether Rattle Toy Set,AY095 Holdings Pty Ltd,15 April 2024,"Kids' toys
 Rattles and toy teethers
 Toys for babies and toddlers","Baby teether rattle toy set.
 
 
 
 Set includes:
 
 
 wooden teether rattle
 wooden bracelet teether
 beaded dummy chain
 
 
 
 
 See a list of details to help identify the product.",The teether rattle set does not comply with the mandatory standard for toys for children up to and including 36 months of age and the mandatory standard for baby dummies and dummy chains.,There is a risk of serious injury or death from choking if the teether rattle set does not comply with the standard.,"Consumers should stop using affected teether rattle sets immediately and dispose of them.
 
 Then notify Bambino House for a full refund.
 
 To notify of disposal or for more information contact Bambino house on info@bambinohouse.com.au(link sends email) or by phone on 0411 566 006.",AY095 Holdings Pty Ltd(link is external),AY095 Holdings Pty Ltd(link is external),https://bambinohouse.com.au/,Bambino House,"15 August 2023
  - 11 December 2023",NationallyOnline,China,Recall advertisement 15 April 2024.pdf 189.13 KB,https://www.productsafety.gov.au/system/files/recall/Recall%20advertisement%2015%20April%202024.pdf,Quote PRA number 2024/20134 when contacting a regulator about this recall.
https://www.productsafety.gov.au/system/files/styles/media_library/private/Clip-On%20Pram%20Hanging%20Mobile.jpg?itok=7vNj0cJf,Clip-On Pram Hanging Mobile,AY095 Holdings Pty Ltd,15 April 2024,"Baby and toddler products
 Prams and strollers
 Kids' toys
 Toys for babies and toddlers","Clip-on pram hanging mobile.
 
 
 
 Available in 4 different styles:
 
 
 star, rainbow and cloud
 tree, hedgehog and mushroom
 ibis, starfish and float ring
 tree, deer and mushroom
 
 
 
 
 See a list of details to help identify the product.",The hanging mobile does not comply with the mandatory standard for toys for children up to and including 36 months of age.,There is a risk of serious injury or death from choking if the hanging mobile does not comply with the standard.,"Consumers should stop using affected mobiles immediately and dispose of them.
 
 Then notify Bambino House for a full refund.
 
 To notify of disposal or for more information contact Bambino house on info@bambinohouse.com.au(link sends email) or by phone on 0411 566 006.",AY095 Holdings Pty Ltd(link is external),AY095 Holdings Pty Ltd(link is external),https://bambinohouse.com.au/,Bambino House,"11 October 2023
  - 7 December 2023",Nationally,China,Recall advertisement - 15 April 2024.pdf 200.4 KB,https://www.productsafety.gov.au/system/files/recall/Recall%20advertisement%20-%2015%20April%202024_1.pdf,Quote PRA number 2024/20136 when contacting a regulator about this recall.
https://www.productsafety.gov.au/system/files/styles/media_library/private/Cute%20Wooden%20Baby%20Teethers.jpg?itok=6zjjW1ny,Cute Wooden Baby Teether,AY095 Holdings Pty Ltd,15 April 2024,"Kids' toys
 Rattles and toy teethers
 Toys for babies and toddlers","Wooden teether toy.
 
 
 
 Sold in 2 styles:
 
 
 bird
 bear
 
 
 
 
 See a list of details to help identify the product.",The teether does not comply with the mandatory standard for toys for children up to and including 36 months of age.,There is a risk of serious injury or death from choking if the teether does not comply with the standard.,"Consumers should stop using affected teethers immediately and dispose of them.
 
 Then notify Bambino House for a full refund.
 
 To notify of disposal or for more information contact Bambino house on info@bambinohouse.com.au(link sends email) or by phone on 0411 566 006.",AY095 Holdings Pty Ltd(link is external),AY095 Holdings Pty Ltd(link is external),https://bambinohouse.com.au/,Bambino House,"11 December 2023
  - 17 December 2023",NationallyOnline,China,Recall advertisement - 15 April 2024.pdf 218.96 KB,https://www.productsafety.gov.au/system/files/recall/Recall%20advertisement%20-%2015%20April%202024_3.pdf,Quote PRA number 2024/20137 when contacting a regulator about this recall.
https://www.productsafety.gov.au/system/files/styles/media_library/private/handstick%20vacuum%20front%20view.jpg?itok=NUdyba-J,Contempo Handstick Vacuum,BIG W,12 April 2024,"Home and garden
 Cleaning products
 Home electrical appliances","Rechargeable battery-operated handstick bagless vacuum.
 
 
 
 Model Number: BW-595
 
 SKU No: 139259
 
 Batch Codes: All batch codes ending in /2021 and /2022 or batch code 010223.
 
 
 
 This code can be found on the product label located on the end of the barrel.
 
 
 
 Model
 BW-595
 
 
 See a list of details to help identify the product.","Components on the circuit board may overheat and catch fire if the vacuum short circuits or the incorrect charger is used.
 
 
 Incidents have occurred and caused property damage.",There is a risk of serious injury and property damage from fire.,"Consumers should stop using affected vacuum cleaners immediately and return to any Big W store for a full refund.
 
 
 Phone Big W if you are unable to return the product or have sold or gifted it to another person.
 
 
 For more information contact Big W on 1300 244 999 or visit https://www.bigw.com.au/help/contact-us(link is external)",BIG W(link is external),BIG W(link is external),https://www.bigw.com.au/,"BIG W stores
 
 Online at bigw.com.au, woolworths.com.au and mydeal.com.au","15 March 2022
  - 11 October 2023",NationallyOnline,China,Recall advertisement - 12 April 2024.pdf 1.83 MB,https://www.productsafety.gov.au/system/files/recall/Recall%20advertisement%20-%2012%20April%202024_3.pdf,Quote PRA number 2024/20130 when contacting a regulator about this recall.
https://www.productsafety.gov.au/system/files/styles/media_library/private/Calma%20Koala%20and%20packaging.png?itok=A_0ycuJz,Calma Koala Calming Sensory Toy,Calma Koala Australia Pty Ltd,10 April 2024,"Kids' toys
 Rattles and toy teethers
 Toys for babies and toddlers","Silicone koala sensory and teething toy.
 
 The toy is grey with black eyes and nose and light grey on the ears.
 
 
 
 See a list of details to help identify the product.",The product does not comply with the mandatory standard for toys for children up to and including 36 months of age.The eyes and nose may detach from the toy creating small parts.,"There is a risk of choking, suffocation, or death to young children if the small parts detach or come loose.","Consumers should stop using the affected product immediately and place it out of reach of children.Consumers should return the product to their place of purchase for a refund.For more information, consumers can contact Calma Koala Pty Ltd by phone on 1800 017 531 or via email at recall@calmakoala.com(link sends email)",Calma Koala Australia Pty Ltd(link is external),Calma Koala Australia Pty Ltd(link is external),https://www.calmakoala.com.au/,"Sold by Calma Koala online, various retailers and at markets and expos, see attached traders list.","17 June 2023
  - 27 March 2024",NationallyInternationalOnline,Australia,Traders list - 10 April 2024.pdf 128.77 KB,https://www.productsafety.gov.au/system/files/Traders%20list%20-%2010%20April%202024_1.pdf,Quote PRA number 2024/20151 when contacting a regulator about this recall.
https://www.productsafety.gov.au/system/files/styles/media_library/private/Bobcat%20lawn%20mower.png?itok=EwNCLmOv,Bobcat lawn mowers,SME Mowers,10 April 2024,"Vehicles (unregistered or off-road)
 Ride-on lawn mowers and tractors
 Industry, tools and machinery
 Farm equipment and supplies","Kawasaki general engines with voltage regulator (part no. 21066-0785) installed in ZT6000 and ZT7000 Bobcat lawn mowers.
 
 Affected Bobcat lawn mower models:
 
 
 9996010 - ZT6000
 9996012 - ZT6100
 9997010 - ZT7000
 9997011 - ZT7000
 
 
 
 
 See a list of details to help identify the product.","The voltage regulator in affected Kawasaki general purpose engines, installed in select Bobcat lawn mowers, can malfunction. The affected mowers can catch fire at any time, even if the engine is off or not in use.","There is risk of serious injury, death and/or damage to property if the voltage regulator catches fire.","Stop using the affected mower until it has been repaired.Disconnect the negative battery cable and secure it away from the negative battery post. If you are unsure on how to disconnect the battery, see the battery disconnection instructions(link is external) or contact your local Bobcat lawn mower dealer.Contact your local Bobcat lawn mower dealer to arrange repair.Repairs are expected to commence from mid-April 2024 when replacement voltage regulators become available.",SME Mowers(link is external),SME Mowers(link is external),https://www.smemowers.com.au/,Bobcat lawn mower dealers,"1 November 2021
  - 11 January 2024",Nationally,United States,Traders list - 10 April 2024.pdf 32.74 KB,https://www.productsafety.gov.au/system/files/Traders%20list%20-%2010%20April%202024.pdf,Quote PRA number 2024/20153 when contacting a regulator about this recall.
https://www.productsafety.gov.au/system/files/styles/media_library/private/Dino%20Island%20Torch%20Projector.png?itok=YPvFkIst,Novelty torches and light up toys,TEEG Australia Pty Ltd,8 April 2024,"Chemicals and poisons
 Hazardous materials
 Electronics and technology
 Button batteries
 Kids' toys
 Novelty toys","Assorted children’s novelty products, provided as ticket prizes at Timezone, Kingpin Bowling, and Zone Bowling outlets.
 
 Products include:
 
 
 novelty torches that project images on surfaces (Outback Mates, Dino Island, Furever Pets, Sea Life, Space, Unicorn Kingdom)
 Squishy Bubble Shark
 Whistle Key Finder
 Sonic Spinner
 Pocket Fart Gun
 Flashing Toothbrush
 
 
 
 
 See a list of details to help identify the product.",The products do not comply with the mandatory safety standards for products containing button/coin batteries. The button/coin batteries may not be adequately secured and may be accessible by young children.,There is a risk of choking or serious injury if young children gain access to the button/coin batteries and swallow or place them inside their body.,"Consumers must stop using the product immediately and keep it out of reach of children.Consumers should return the item to the place of purchase to receive a full refund.For more information, consumers can contact TEEG Australia by emailing recall@teeg.com(link sends email).",TEEG Australia Pty Ltd(link is external),TEEG Australia Pty Ltd(link is external),https://teeg.com/,"Kingpin Bowling, Timezone, Zone Bowling","22 June 2022
  - 7 June 2023",Nationally,China,Recall Advertisement - 8 April 2024.pdf 279.6 KB,https://www.productsafety.gov.au/system/files/recall/Recall%20Advertisement%20-%208%20April%202024.pdf,Quote PRA number 2024/20124 when contacting a regulator about this recall.
https://www.productsafety.gov.au/system/files/styles/media_library/private/Dinosaur%20Bucket.jpg?itok=HWimXsEZ,HAPE Dinosaur Train Bucket Set,U. Games Australia Pty Ltd,5 April 2024,"Chemicals and poisons
 Hazardous materials
 Electronics and technology
 Button batteries
 Kids' toys
 Vehicle toys","HAPE Dinosaur Train Bucket Set.
 
 Item number: E3828 (or HE3828)
 
 Batch Number: P2322400795NBCN 05/2023
 
 Note that only this batch number is affected. The batch number can be found on the packaging and product where shown.
 
 Set includes:
 
 
 10 rail tracks, 6 dinosaurs, 2 scenes, 3 caves, 3 trunks, 1 lid, 1 bottom box, and 1 plastic interaction rail.
 
 
 The button battery does not come installed and is supplied in a plastic bag with the interaction rail.
 
 
 
 See a list of details to help identify the product.",The product does not comply with the mandatory standards for products containing button/coin batteries.The battery packaging has not been tested as required by the mandatory safety standard and may not be child resistant.The product and included battery do not include the required warning information.,"Risk of choking, severe internal burn injuries or death to young children if they gain access to the button/coin batteries and swallow them or place them inside their body.","Consumers should stop using the set immediately and place it out of reach of children.Consumers should contact U Games Australia to arrange for a reply-paid envelope to return the set and receive either a replacement or a full refund.For more information or to arrange the replacement or refund, consumers should contact U Games Australia(link is external) on 1300 998 150 or email customerservice@ugames.com.au(link sends email) 9:00 am to 5:00 pm Monday to Friday.",U. Games Australia Pty Ltd(link is external),U. Games Australia Pty Ltd(link is external),https://www.ugames.com.au/,"Discount Toy Co. - Online
 
 IQM Store - Online
 
 Myer - Online
 
 The Coffee Apple
 
 The Nile Group - Online
 
 The Playroom (Osborne Park and O’Connor)","8 September 2023
  - 5 February 2024",NationallyOnline,China,Recall Advertisement - 5 April 2024.pdf 214.45 KB,https://www.productsafety.gov.au/system/files/recall/Recall%20Advertisement%20-%205%20April%202024.pdf,Quote PRA number 2024/20099 when contacting a regulator about this recall.
https://www.productsafety.gov.au/system/files/styles/media_library/private/Ultra%20Light%20Ups%20Jump%20Rope.jpg?itok=UMZgyKh2,Ultra Light Ups jump rope,Palcove Pty Ltd,4 April 2024,"Chemicals and poisons
 Hazardous materials
 Electronics and technology
 Button batteries
 Kids' toys
 Novelty toys","Lightweight jump rope that lights up.
 
 Sold in various colours.
 
 
 
 See a list of details to help identify the product.",The product does not comply with the mandatory information standard for products containing button/coin batteries.The product does not include the required warning information.,"There is a risk of choking, serious injury or death to young children if they gain access to the button/coin batteries and swallow or place them inside their body.","Consumers should keep the product out of reach of children.Consumers should contact the supplier to receive the warning information.For more information, consumers can contact 08 8150 1400 between 9 am to 5 pm Monday to Friday, or email CService@cheapaschips.com.au(link sends email).",Palcove Pty Ltd(link is external),Palcove Pty Ltd(link is external),http://www.cheapaschips.com.au/,Cheap as Chips,"8 October 2022
  - 6 December 2023",NationallyOnlineNew South WalesSouth AustraliaVictoria,China,Recall advertisement - 4 April 2024.pdf 245.58 KB,https://www.productsafety.gov.au/system/files/recall/Recall%20advertisement%20-%204%20April%202024_1.pdf,Quote PRA number 2024/20103 when contacting a regulator about this recall.
https://www.productsafety.gov.au/system/files/styles/media_library/private/Plastic%20Dinosaur%20Collection.jpg?itok=Q15ymn0_,Plastic Dinosaur Collection,Palcove Pty Ltd,4 April 2024,"Kids' toys
 Novelty toys","Plastic toy dinosaur 4-piece sets containing 1 large dinosaur and 3 smaller dinosaurs or accessories.
 
 3 different sets were available to purchase.
 
 The large dinosaur in each set is battery-operated to move and make sounds.
 
 
 
 See a list of details to help identify the product.",The product does not comply with the mandatory information standard for products containing button/coin batteries.The product does not include the required warning information.,"There is a risk of choking, serious injury or death to young children if they gain access to the button/coin batteries and swallow or place them inside their body.","Consumers should keep the product out of reach of children.Consumers should contact the supplier to receive the warning information.For more information, consumers can contact 08 8150 1400 between 9 am to 5 pm, Monday to Friday, or email CService@cheapaschips.com.au(link sends email)",Palcove Pty Ltd(link is external),Palcove Pty Ltd(link is external),http://www.cheapaschips.com.au/,Cheap as Chips,"16 September 2022
  - 17 January 2023",NationallyOnlineNew South WalesSouth AustraliaVictoria,China,Recall advertisement - 4 April 2024.pdf 297.62 KB,https://www.productsafety.gov.au/system/files/recall/Recall%20advertisement%20-%204%20April%202024_2.pdf,Quote PRA number 2024/20104 when contacting a regulator about this recall.
